"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Bernhard";"Brinkmann";1952;"SPD";49;"Niedersachsen";22;
"Ruediger";"Brocke von";1957;"SPD";;"Schleswig-Holstein";18;
"Benjamin";"Brodnicki";1986;"DVU";;"Bremen";5;
"Bernd";"Brodtrueck";1970;"BueSo";;"Sachsen";8;
"Edith";"Broemsen";1959;"VIOLETTEN";;"Bayern";10;
"Dieter Manfred";"Brose";1943;"NPD";61;"Brandenburg";10;
"Martin";"Broziat";1962;"FDP";12;;;
"Andreas";"Brueckner";1968;;66;;;
"Rainer";"Bruederle";1945;"FDP";206;"Rheinland-Pfalz";1;
"Norbert";"Brueggemann";1975;"FDP";32;"Niedersachsen";25;
"Regine";"Brueggemann";1956;"DIE LINKE";;"Hamburg";2;
"Klaus-Dieter";"Bruegmann";1951;"DIE LINKE";7;;;
"Monika Minna Marie";"Bruening";1951;"CDU";;"Niedersachsen";31;
"Peter Klaus";"Bruesemeister";1966;"DIE LINKE";234;"Bayern";23;
"Wolfgang";"Bruhn";1961;"NPD";99;;;
"Peter Josef";"Brumann";1942;"FAMILIE";;"Nordrhein-Westfalen";10;
"Doris";"Brummer";1960;"CDU";;"Baden-Wuerttemberg";35;
"Sabine";"Brunke-Reubold";1969;"GRUENE";45;"Niedersachsen";9;
"Angelika";"Brunkhorst";1955;"FDP";29;"Niedersachsen";4;
"Josef";"Brunner";1950;"Freie Union";227;;;
"Dr. Karl Heinz";"Brunner";1953;"SPD";255;"Bayern";41;
"Eckhard Karl Alfred";"Bruns";1944;"RRP";;"Niedersachsen";6;
"Michael";"Bruns";1973;"DIE LINKE";147;"Nordrhein-Westfalen";16;
"Joerg";"Brunschweiger";1979;"VIOLETTEN";;"Bayern";5;
"Rosi";"Brunschweiger";1951;"VIOLETTEN";;"Bayern";12;
"Raffaela";"Bubendorfer";1988;"FDP";213;"Bayern";20;
"Klaus";"Bucher";1968;"FDP";290;"Baden-Wuerttemberg";32;
"Christine";"Buchholz";1971;"DIE LINKE";185;"Hessen";3;
"Conrad";"Buchholz";1982;"FDP";180;"Hessen";18;
"Doris";"Buchholz";1959;"FDP";;"Saarland";6;
"Daniel";"Buchmann";1981;"BueSo";85;"Berlin";2;
"Sven";"Buchmann";1979;;83;;;
"Prof. Dr. Klaus";"Buchner";1941;"oedp";;"Berlin";3;
"Enrico";"Buchs";1976;"FDP";66;;;
